Journal Name,ISSN,2021 JIF,eISSN,Category
Turkish Journal of Hematology,1300-7777,2.029,1308-5263,HEMATOLOGY - SCIE(Q4)
JOURNAL OF AOAC INTERNATIONAL,1060-3271,2.028,1944-7922,"CHEMISTRY, ANALYTICAL - SCIE(Q3); FOOD SCIENCE & TECHNOLOGY - SCIE(Q4)"
ZOOLOGY,0944-2006,2.027,1873-2720,ZOOLOGY - SCIE(Q2)
JOURNAL OF DAIRY RESEARCH,0022-0299,2.027,1469-7629,"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE(Q2); FOOD SCIENCE & TECHNOLOGY - SCIE(Q4)"
INNOVATIONS IN EDUCATION AND TEACHING INTERNATIONAL,1470-3297,2.027,1470-3300,EDUCATION & EDUCATIONAL RESEARCH - SSCI(Q3)
CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES,1526-1492,2.027,1526-1506,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE(Q2); ENGINEERING, MULTIDISCIPLINARY - SCIE(Q3)"
DEFENCE AND PEACE ECONOMICS,1024-2694,2.027,1476-8267,ECONOMICS - SSCI(Q3)
Mammal Research,2199-2401,2.026,2199-241X,ZOOLOGY - SCIE(Q2)
PROTEIN EXPRESSION AND PURIFICATION,1046-5928,2.025,1096-0279,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE(Q4); BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q4); BIOCHEMICAL RESEARCH METHODS - SCIE(Q4)
Current Topics in Membranes,1063-5823,2.025,N/A,BIOPHYSICS - SCIE(Q3); BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q4)
Physical Mesomechanics,1029-9599,2.025,1990-5424,"MECHANICS - SCIE(Q3); MATERIALS SCIENCE, CHARACTERIZATION & TESTING - SCIE(Q3)"
Earthquakes and Structures,2092-7614,2.025,2092-7622,"ENGINEERING, CIVIL - SCIE(Q3); ENGINEERING, GEOLOGICAL - SCIE(Q4)"
Materials Research Express,N/A,2.025,2053-1591,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q4)"
ANZ JOURNAL OF SURGERY,1445-1433,2.025,1445-2197,SURGERY - SCIE(Q3)
Journal of Experimental Nanoscience,1745-8080,2.024,1745-8099,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q3); PHYSICS, APPLIED - SCIE(Q3); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q4); NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q4)"
Information Retrieval Journal,1386-4564,2.024,1573-7659,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE(Q3)"
Tobacco Regulatory Science,2333-9748,2.024,2333-9748,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q4); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q4)"
MINERVA BIOTECNOLOGICA,1120-4826,2.024,1827-160X,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE(Q4)
ANTIQUITY,0003-598X,2.024,1745-1744,ARCHAEOLOGY - AHCI(N/A); ANTHROPOLOGY - SSCI(Q2)
INTERNATIONAL CLINICAL PSYCHOPHARMACOLOGY,0268-1315,2.023,1473-5857,PHARMACOLOGY & PHARMACY - SCIE(Q4); PSYCHIATRY - SCIE(Q4)
BMC Medical Genetics,N/A,2.023,1471-2350,GENETICS & HEREDITY - SCIE(Q4)
INTERNATIONAL MIGRATION,0020-7985,2.022,1468-2435,DEMOGRAPHY - SSCI(Q3)
JOURNAL OF INEQUALITIES AND APPLICATIONS,1029-242X,2.021,1029-242X,"MATHEMATICS - SCIE(Q1); MATHEMATICS, APPLIED - SCIE(Q2)"
POLITICAL QUARTERLY,0032-3179,2.021,1467-923X,POLITICAL SCIENCE - SSCI(Q2)
Journal of the European Optical Society-Rapid Publications,N/A,2.021,1990-2573,OPTICS - SCIE(Q3)
Proceedings of the Institution of Mechanical Engineers Part O-Journal of Risk and Reliability,1748-006X,2.021,1748-0078,"OPERATIONS RESEARCH & MANAGEMENT SCIENCE - SCIE(Q3); ENGINEERING, MULTIDISCIPLINARY - SCIE(Q3); ENGINEERING, INDUSTRIAL - SCIE(Q4)"
COMMON MARKET LAW REVIEW,0165-0750,2.02,1875-8320,INTERNATIONAL RELATIONS - SSCI(Q2); LAW - SSCI(Q2)
Polish Journal of Microbiology,1733-1331,2.019,2544-4646,MICROBIOLOGY - SCIE(Q4)
TRANSPORTATION RESEARCH RECORD,0361-1981,2.019,2169-4052,"ENGINEERING, CIVIL - SCIE(Q3); TRANSPORTATION SCIENCE & TECHNOLOGY - SCIE(Q3)"
BRITISH JOURNAL OF ORAL & MAXILLOFACIAL SURGERY,0266-4356,2.018,1532-1940,"SURGERY - SCIE(Q3); DENTISTRY, ORAL SURGERY & MEDICINE - SCIE(Q4)"
Legal Medicine,1344-6223,2.017,N/A,"MEDICINE, LEGAL - SCIE(Q3)"
Journal of the Society for Information Display,1071-0922,2.017,1938-3657,"PHYSICS, APPLIED - SCIE(Q3); ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q3); OPTICS - SCIE(Q3); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q4)"
RADIATION AND ENVIRONMENTAL BIOPHYSICS,0301-634X,2.017,1432-2099,"BIOLOGY - SCIE(Q3); RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE(Q4); BIOPHYSICS - SCIE(Q4); ENVIRONMENTAL SCIENCES - SCIE(Q4)"
FAMILY & COMMUNITY HEALTH,0160-6379,2.017,1550-5057,"FAMILY STUDIES - SSCI(Q3); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q4)"
WIRELESS PERSONAL COMMUNICATIONS,0929-6212,2.017,1572-834X,TELECOMMUNICATIONS - SCIE(Q3)
Journal of Clinical Research in Pediatric Endocrinology,1308-5727,2.016,1308-5735,PEDIATRICS - SCIE(Q3); ENDOCRINOLOGY & METABOLISM - SCIE(Q4)
ENVIRONMENTAL MODELING & ASSESSMENT,1420-2026,2.016,1573-2967,ENVIRONMENTAL SCIENCES - SCIE(Q4)
KNOWLEDGE ENGINEERING REVIEW,0269-8889,2.016,1469-8005,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE(Q3)"
Journal of Immigrant and Minority Health,1557-1912,2.015,1557-1920,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q4)"
BREEDING SCIENCE,1344-7610,2.014,1347-3735,AGRONOMY - SCIE(Q2); PLANT SCIENCES - SCIE(Q3)
JOURNAL OF GENERAL PSYCHOLOGY,0022-1309,2.014,1940-0888,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI(Q3)"
NEW LEFT REVIEW,0028-6060,2.013,2044-0480,"POLITICAL SCIENCE - SSCI(Q2); SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI(Q2)"
WASHINGTON QUARTERLY,0163-660X,2.013,1530-9177,LAW - SSCI(Q2); INTERNATIONAL RELATIONS - SSCI(Q2)
Mind Brain and Education,1751-2271,2.013,1751-228X,"EDUCATION & EDUCATIONAL RESEARCH - SSCI(Q3); PSYCHOLOGY, DEVELOPMENTAL - SSCI(Q4)"
ACM Journal on Emerging Technologies in Computing Systems,1550-4832,2.013,1550-4840,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE(Q3); ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q3); NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q4)"
Journal of Thermal Science,1003-2169,2.013,1993-033X,"THERMODYNAMICS - SCIE(Q3); ENGINEERING, MECHANICAL - SCIE(Q3)"
HealthCare-The Journal of Delivery Science and Innovation,2213-0764,2.012,2213-0772,HEALTH POLICY & SERVICES - SSCI(Q4)
MICROSYSTEM TECHNOLOGIES-MICRO-AND NANOSYSTEMS-INFORMATION STORAGE AND PROCESSING SYSTEMS,0946-7076,2.012,1432-1858,"PHYSICS, APPLIED - SCIE(Q3); ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q3); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q4); NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q4)"
OPHTHALMIC PLASTIC AND RECONSTRUCTIVE SURGERY,0740-9303,2.011,1537-2677,SURGERY - SCIE(Q3); OPHTHALMOLOGY - SCIE(Q3)
East Asian Journal on Applied Mathematics,2079-7362,2.011,2079-7370,"MATHEMATICS, APPLIED - SCIE(Q2)"
MINERALOGY AND PETROLOGY,0930-0708,2.011,1438-1168,MINERALOGY - SCIE(Q3); GEOCHEMISTRY & GEOPHYSICS - SCIE(Q3)
JOURNAL OF GENDER STUDIES,0958-9236,2.011,1465-3869,"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI(Q2); WOMENS STUDIES - SSCI(Q2); SOCIAL ISSUES - SSCI(Q3)"
ACTA CHROMATOGRAPHICA,1233-2356,2.011,2083-5736,"CHEMISTRY, ANALYTICAL - SCIE(Q4)"
Asia Pacific Business Review,1360-2381,2.011,1743-792X,MANAGEMENT - SSCI(Q4); BUSINESS - SSCI(Q4)
Near Surface Geophysics,1569-4445,2.01,1873-0604,GEOCHEMISTRY & GEOPHYSICS - SCIE(Q3)
DRUGS-EDUCATION PREVENTION AND POLICY,0968-7637,2.007,1465-3370,SUBSTANCE ABUSE - SSCI(Q4)
GEOFLUIDS,1468-8115,2.006,1468-8123,GEOLOGY - SCIE(Q2); GEOCHEMISTRY & GEOPHYSICS - SCIE(Q3)
ETHNICITY & DISEASE,1049-510X,2.006,1945-0826,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q4)"
Journal of Aquatic Food Product Technology,1049-8850,2.006,1547-0636,FOOD SCIENCE & TECHNOLOGY - SCIE(Q4)
Iranian Journal of Fuzzy Systems,1735-0654,2.006,N/A,"MATHEMATICS - SCIE(Q1); MATHEMATICS, APPLIED - SCIE(Q2)"
AMERICAN JOURNAL OF HEALTH BEHAVIOR,1945-7359,2.006,N/A,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q4)"
JOURNAL OF PROPULSION AND POWER,0748-4658,2.005,1533-3876,"ENGINEERING, AEROSPACE - SCIE(Q2)"
COMPUTATIONAL OPTIMIZATION AND APPLICATIONS,0926-6003,2.005,1573-2894,"MATHEMATICS, APPLIED - SCIE(Q2); OPERATIONS RESEARCH & MANAGEMENT SCIENCE - SCIE(Q3)"
Demographic Research,1435-9871,2.005,1435-9871,DEMOGRAPHY - SSCI(Q3)
JOURNAL OF VISION,1534-7362,2.004,N/A,OPHTHALMOLOGY - SCIE(Q3)
CALPHAD-COMPUTER COUPLING OF PHASE DIAGRAMS AND THERMOCHEMISTRY,0364-5916,2.004,1873-2984,"METALLURGY & METALLURGICAL ENGINEERING - SCIE(Q2); THERMODYNAMICS - SCIE(Q3); CHEMISTRY, PHYSICAL - SCIE(Q4); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q4)"
PEDIATRIC SURGERY INTERNATIONAL,0179-0358,2.003,1437-9813,SURGERY - SCIE(Q3); PEDIATRICS - SCIE(Q3)
WORLD ECONOMY,0378-5920,2,1467-9701,"INTERNATIONAL RELATIONS - SSCI(Q2); BUSINESS, FINANCE - SSCI(Q3); ECONOMICS - SSCI(Q3)"
Journal of Mental Health Research in Intellectual Disabilities,1931-5864,2,1931-5872,"EDUCATION, SPECIAL - SSCI(Q2); REHABILITATION - SSCI(Q2); PSYCHIATRY - SSCI(Q4)"
ALTERNATIVES,0304-3754,2,2163-3150,INTERNATIONAL RELATIONS - SSCI(Q2)
ULTRASONIC IMAGING,0161-7346,2,1096-0910,"ACOUSTICS - SCIE(Q3); RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE(Q4); ENGINEERING, BIOMEDICAL - SCIE(Q4)"
Earth Interactions,N/A,2,1087-3562,"GEOSCIENCES, MULTIDISCIPLINARY - SCIE(Q3)"
JOURNAL OF OCEANOGRAPHY,0916-8370,2,1573-868X,OCEANOGRAPHY - SCIE(Q3)
Clinical Mass Spectrometry,2376-9998,2,2213-8005,MEDICAL LABORATORY TECHNOLOGY - SCIE(Q3)
Journal of Global History,1740-0228,2,1740-0236,HISTORY - AHCI(N/A); HISTORY - SSCI(Q1)
Records of Natural Products,1307-6167,2,1307-6167,"CHEMISTRY, APPLIED - SCIE(Q3); PLANT SCIENCES - SCIE(Q3); CHEMISTRY, MEDICINAL - SCIE(Q4)"
HETEROCYCLIC COMMUNICATIONS,0793-0283,2,2191-0197,"CHEMISTRY, ORGANIC - SCIE(Q3)"
JOURNAL OF SOLUTION CHEMISTRY,0095-9782,2,1572-8927,"CHEMISTRY, PHYSICAL - SCIE(Q4)"
RUSSIAN MATHEMATICAL SURVEYS,0036-0279,2,1468-4829,MATHEMATICS - SCIE(Q1)
Pharmacogenetics and Genomics,1744-6872,2,1744-6880,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE(Q4); GENETICS & HEREDITY - SCIE(Q4); PHARMACOLOGY & PHARMACY - SCIE(Q4)
JOURNAL OF ELDER ABUSE & NEGLECT,0894-6566,2,1540-4129,GERONTOLOGY - SSCI(Q3)
Canadian Water Resources Journal,0701-1784,2,1918-1817,WATER RESOURCES - SCIE(Q3)
Journal of the Korean Astronomical Society,1225-4614,2,1225-4614,ASTRONOMY & ASTROPHYSICS - SCIE(Q3)
International & Comparative Law Quarterly,0020-5893,2,1471-6895,LAW - SSCI(Q2)
Journal of Engineered Fibers and Fabrics,1558-9250,2,1558-9250,"MATERIALS SCIENCE, TEXTILES - SCIE(Q2)"
SINGAPORE JOURNAL OF TROPICAL GEOGRAPHY,0129-7619,2,1467-9493,GEOGRAPHY - SSCI(Q3)
International Journal of Osteopathic Medicine,1746-0689,2,1878-0164,"REHABILITATION - SCIE(Q3); MEDICINE, GENERAL & INTERNAL - SCIE(Q3)"
EMERGENCY MEDICINE CLINICS OF NORTH AMERICA,0733-8627,2,1558-0539,EMERGENCY MEDICINE - SCIE(Q3)
JOURNAL OF ECONOMIC BEHAVIOR & ORGANIZATION,0167-2681,2,1879-1751,ECONOMICS - SSCI(Q3)
Sahara J-Journal of Social Aspects of HIV-AIDS,1729-0376,2,1813-4424,"HEALTH POLICY & SERVICES - SSCI(Q4); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q4)"
Journal of Fixed Point Theory and Applications,1661-7738,2,1661-7746,"MATHEMATICS - SCIE(Q1); MATHEMATICS, APPLIED - SCIE(Q2)"
WEB ECOLOGY,2193-3081,2,1399-1183,ECOLOGY - SCIE(Q3); ENVIRONMENTAL SCIENCES - SCIE(Q4)
JOURNAL OF FLUIDS ENGINEERING-TRANSACTIONS OF THE ASME,0098-2202,1.998,1528-901X,"ENGINEERING, MECHANICAL - SCIE(Q3)"
PEDIATRIC DERMATOLOGY,0736-8046,1.997,1525-1470,PEDIATRICS - SCIE(Q3); DERMATOLOGY - SCIE(Q3)
XENOBIOTICA,0049-8254,1.997,1366-5928,TOXICOLOGY - SCIE(Q4); PHARMACOLOGY & PHARMACY - SCIE(Q4)
JOURNAL OF GLOBAL OPTIMIZATION,0925-5001,1.996,1573-2916,"MATHEMATICS, APPLIED - SCIE(Q2); OPERATIONS RESEARCH & MANAGEMENT SCIENCE - SCIE(Q3)"
Sexual Health,1448-5028,1.994,1449-8987,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q4); INFECTIOUS DISEASES - SCIE(Q4); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q4)"
ENFERMEDADES INFECCIOSAS Y MICROBIOLOGIA CLINICA,0213-005X,1.994,1578-1852,MICROBIOLOGY - SCIE(Q4); INFECTIOUS DISEASES - SCIE(Q4)
SCIENCE & JUSTICE,1355-0306,1.993,1876-4452,"PATHOLOGY - SCIE(Q3); MEDICINE, LEGAL - SCIE(Q3)"
JOURNAL OF ELECTRON SPECTROSCOPY AND RELATED PHENOMENA,0368-2048,1.993,1873-2526,SPECTROSCOPY - SCIE(Q3)
SCANDINAVIAN CARDIOVASCULAR JOURNAL,1401-7431,1.992,1651-2006,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q4)
MICROELECTRONICS JOURNAL,0026-2692,1.992,1879-2391,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q3); NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q4)"
Nutrition Research and Practice,1976-1457,1.992,2005-6168,NUTRITION & DIETETICS - SCIE(Q4)
Journal of Agromedicine,1059-924X,1.992,1545-0813,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q4)"
PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART K-JOURNAL OF MULTI-BODY DYNAMICS,1464-4193,1.992,2041-3068,"MECHANICS - SCIE(Q3); ENGINEERING, MECHANICAL - SCIE(Q3)"
APPLIED IMMUNOHISTOCHEMISTRY & MOLECULAR MORPHOLOGY,1541-2016,1.992,1533-4058,MEDICAL LABORATORY TECHNOLOGY - SCIE(Q3); ANATOMY & MORPHOLOGY - SCIE(Q3); PATHOLOGY - SCIE(Q4)
Journal of Youth Studies,1367-6261,1.991,1469-9680,"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI(Q3)"
Cardiology Research and Practice,2090-8016,1.99,2090-0597,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q4)
PLANT ECOLOGY,1385-0237,1.99,1573-5052,FORESTRY - SCIE(Q2); PLANT SCIENCES - SCIE(Q3); ECOLOGY - SCIE(Q3)
Journal of Advanced Prosthodontics,2005-7806,1.989,2005-7814,"DENTISTRY, ORAL SURGERY & MEDICINE - SCIE(Q4)"
Affilia-Feminist Inquiry in Social Work,0886-1099,1.988,1552-3020,WOMENS STUDIES - SSCI(Q2); SOCIAL WORK - SSCI(Q2)
INTERNATIONAL JOURNAL OF RF AND MICROWAVE COMPUTER-AIDED ENGINEERING,1096-4290,1.987,1099-047X,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q3); COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE(Q4)"
JOURNAL OF APPLIED ANIMAL RESEARCH,0971-2119,1.987,0974-1844,"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE(Q2)"
NEUROREHABILITATION,1053-8135,1.986,1878-6448,REHABILITATION - SCIE(Q3); REHABILITATION - SSCI(Q3); CLINICAL NEUROLOGY - SCIE(Q4)
QUANTITATIVE FINANCE,1469-7688,1.986,1469-7696,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE(Q2); ECONOMICS - SSCI(Q3); SOCIAL SCIENCES, MATHEMATICAL METHODS - SSCI(Q3); BUSINESS, FINANCE - SSCI(Q3)"
Journal of Research in Medical Sciences,1735-1995,1.985,1735-7136,"MEDICINE, GENERAL & INTERNAL - SCIE(Q3)"
JOURNAL OF THE JAPANESE AND INTERNATIONAL ECONOMIES,0889-1583,1.985,1095-8681,INTERNATIONAL RELATIONS - SSCI(Q3); ECONOMICS - SSCI(Q3)
JOURNAL OF RESEARCH IN MUSIC EDUCATION,0022-4294,1.985,1945-0095,MUSIC - AHCI(N/A); EDUCATION & EDUCATIONAL RESEARCH - SSCI(Q3)
MAMMALIAN BIOLOGY,1616-5047,1.984,1618-1476,ZOOLOGY - SCIE(Q2)
Welding in the World,0043-2288,1.984,1878-6669,METALLURGY & METALLURGICAL ENGINEERING - SCIE(Q2)
ACTA PSYCHOLOGICA,0001-6918,1.984,1873-6297,"PSYCHOLOGY, EXPERIMENTAL - SSCI(Q4)"
RESEARCH ON SOCIAL WORK PRACTICE,1049-7315,1.984,1552-7581,SOCIAL WORK - SSCI(Q3)
VISION RESEARCH,0042-6989,1.984,1878-5646,OPHTHALMOLOGY - SCIE(Q3); PSYCHOLOGY - SCIE(Q4); NEUROSCIENCES - SCIE(Q4)
Journal of Computational Electronics,1569-8025,1.983,1572-8137,"PHYSICS, APPLIED - SCIE(Q3); ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q3)"
ONDERSTEPOORT JOURNAL OF VETERINARY RESEARCH,0030-2465,1.982,2219-0635,VETERINARY SCIENCES - SCIE(Q2)
Journal of Cosmetic and Laser Therapy,1476-4172,1.982,1476-4180,DERMATOLOGY - SCIE(Q3); SURGERY - SCIE(Q3)
SOUTH AFRICAN JOURNAL OF ENOLOGY AND VITICULTURE,0253-939X,1.981,2224-7904,FOOD SCIENCE & TECHNOLOGY - SCIE(Q4)
JOURNAL OF PALLIATIVE CARE,0825-8597,1.98,2369-5293,"HEALTH CARE SCIENCES & SERVICES - SCIE(Q4); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q4); HEALTH POLICY & SERVICES - SSCI(Q4)"
Mediterranean Politics,1362-9395,1.979,1743-9418,AREA STUDIES - SSCI(Q1); POLITICAL SCIENCE - SSCI(Q2); INTERNATIONAL RELATIONS - SSCI(Q3)
Journal of Macromarketing,0276-1467,1.979,1552-6534,BUSINESS - SSCI(Q4)
FIRE AND MATERIALS,0308-0501,1.979,1099-1018,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q4)"
Journal of Empirical Research on Human Research Ethics,1556-2646,1.978,1556-2654,ETHICS - SSCI(Q2); MEDICAL ETHICS - SCIE(Q3)
Interactive Cardiovascular and Thoracic Surgery,1569-9293,1.978,1569-9285,SURGERY - SCIE(Q3); CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q4); RESPIRATORY SYSTEM - SCIE(Q4)
JOURNAL OF CLINICAL PSYCHOLOGY IN MEDICAL SETTINGS,1068-9583,1.977,1573-3572,"PSYCHOLOGY, CLINICAL - SSCI(Q4)"
Norsk Geografisk Tidsskrift-Norwegian Journal of Geography,0029-1951,1.977,1502-5292,GEOGRAPHY - SSCI(Q3)
Open Chemistry,2391-5420,1.977,2391-5420,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q3)"
WATER AND ENVIRONMENT JOURNAL,1747-6585,1.977,1747-6593,LIMNOLOGY - SCIE(Q3); ENVIRONMENTAL SCIENCES - SCIE(Q4); WATER RESOURCES - SCIE(Q4)
NORTH AMERICAN JOURNAL OF AQUACULTURE,1522-2055,1.977,1548-8454,FISHERIES - SCIE(Q3)
JOURNAL OF CLINICAL MONITORING AND COMPUTING,1387-1307,1.977,1573-2614,ANESTHESIOLOGY - SCIE(Q4)
JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING,0733-9437,1.976,1943-4774,"AGRICULTURAL ENGINEERING - SCIE(Q2); ENGINEERING, CIVIL - SCIE(Q3); WATER RESOURCES - SCIE(Q4)"
Acupuncture in Medicine,0964-5284,1.976,1759-9873,INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE(Q3)
Methodology-European Journal of Research Methods for the Behavioral and Social Sciences,1614-1881,1.975,1614-2241,"PSYCHOLOGY, MATHEMATICAL - SSCI(Q3); SOCIAL SCIENCES, MATHEMATICAL METHODS - SSCI(Q3)"
HEAT TRANSFER RESEARCH,1064-2285,1.975,2162-6561,THERMODYNAMICS - SCIE(Q3)
Measurement in Physical Education and Exercise Science,1091-367X,1.975,1532-7841,"EDUCATION & EDUCATIONAL RESEARCH - SSCI(Q3); SPORT SCIENCES - SCIE(Q4); HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI(Q4)"
Cutaneous and Ocular Toxicology,1556-9527,1.974,1556-9535,OPHTHALMOLOGY - SCIE(Q4); TOXICOLOGY - SCIE(Q4)
ANIMAL SCIENCE JOURNAL,1344-3941,1.974,1740-0929,"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE(Q2)"
Journal of Ophthalmology,2090-004X,1.974,2090-0058,OPHTHALMOLOGY - SCIE(Q4)
JOURNAL OF VISUALIZATION,1343-8875,1.974,1875-8975,"IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY - SCIE(Q3); COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE(Q4)"
ACTA ASTRONOMICA,0001-5237,1.974,0001-5237,ASTRONOMY & ASTROPHYSICS - SCIE(Q3)
ANNALS OF OTOLOGY RHINOLOGY AND LARYNGOLOGY,0003-4894,1.973,1943-572X,OTORHINOLARYNGOLOGY - SCIE(Q3)
REPRODUCTION FERTILITY AND DEVELOPMENT,1031-3613,1.973,1448-5990,ZOOLOGY - SCIE(Q2); DEVELOPMENTAL BIOLOGY - SCIE(Q4); REPRODUCTIVE BIOLOGY - SCIE(Q4)
American Journal of Health Economics,2332-3493,1.973,2332-3507,ECONOMICS - SSCI(Q3); HEALTH POLICY & SERVICES - SSCI(Q4)
JOURNAL OF INVESTIGATIVE SURGERY,0894-1939,1.972,1521-0553,SURGERY - SCIE(Q3)
JOURNAL OF SURFACTANTS AND DETERGENTS,1097-3958,1.972,1558-9293,"CHEMISTRY, APPLIED - SCIE(Q3); ENGINEERING, CHEMICAL - SCIE(Q3); CHEMISTRY, PHYSICAL - SCIE(Q4)"
OXIDATION OF METALS,0030-770X,1.972,1573-4889,METALLURGY & METALLURGICAL ENGINEERING - SCIE(Q2)
Journal of Essential Oil Bearing Plants,0972-060X,1.971,0976-5026,PLANT SCIENCES - SCIE(Q3)
JOURNAL OF FELINE MEDICINE AND SURGERY,1098-612X,1.971,1532-2750,VETERINARY SCIENCES - SCIE(Q2)
CORROSION ENGINEERING SCIENCE AND TECHNOLOGY,1478-422X,1.971,1743-2782,"METALLURGY & METALLURGICAL ENGINEERING - SCIE(Q2); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q4)"
IRAL-INTERNATIONAL REVIEW OF APPLIED LINGUISTICS IN LANGUAGE TEACHING,0019-042X,1.971,1613-4141,LINGUISTICS - SSCI(Q2); EDUCATION & EDUCATIONAL RESEARCH - SSCI(Q3)
INTERNATIONAL REGIONAL SCIENCE REVIEW,0160-0176,1.971,1552-6925,URBAN STUDIES - SSCI(Q4); ENVIRONMENTAL STUDIES - SSCI(Q4); REGIONAL & URBAN PLANNING - SSCI(Q4)
Thermal Science,0354-9836,1.971,2334-7163,THERMODYNAMICS - SCIE(Q3)
Journal of Wound Ostomy and Continence Nursing,1071-5754,1.97,1528-3976,NURSING - SSCI(Q3); NURSING - SCIE(Q3)
JOURNAL FOR THE SCIENTIFIC STUDY OF RELIGION,0021-8294,1.969,1468-5906,RELIGION - AHCI(N/A); SOCIOLOGY - SSCI(Q3)
JOURNAL OF SPECIAL EDUCATION,0022-4669,1.968,1538-4764,"EDUCATION, SPECIAL - SSCI(Q2)"
Security and Communication Networks,1939-0114,1.968,1939-0122,"TELECOMMUNICATIONS - SCIE(Q3); COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE(Q3)"
Journal of Clinical Sport Psychology,1932-9261,1.968,1932-927X,"PSYCHOLOGY, APPLIED - SSCI(Q4)"
GLOBAL NETWORKS-A JOURNAL OF TRANSNATIONAL AFFAIRS,1470-2266,1.968,1471-0374,ANTHROPOLOGY - SSCI(Q2); GEOGRAPHY - SSCI(Q3); SOCIOLOGY - SSCI(Q3)
AQUATIC BOTANY,0304-3770,1.968,1879-1522,PLANT SCIENCES - SCIE(Q3); MARINE & FRESHWATER BIOLOGY - SCIE(Q3)
ECONOMETRIC THEORY,0266-4666,1.968,1469-4360,"STATISTICS & PROBABILITY - SCIE(Q2); SOCIAL SCIENCES, MATHEMATICAL METHODS - SSCI(Q3); MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE(Q3); ECONOMICS - SSCI(Q3)"
